식당,text,한식,중식,일식,양식,카페,가족식사,친구랑,술자리,밥약,데이트,디저트,혼밥,기타
김삼보김치찌개,“서여의도에서 김치찌개는 이 집이 정상권. 가장 일반적인 김치찌개의 전형적인 맛을 기대해도 딱히 주변에 그런 집이 없는데 이 곳은 바로 아는 그 맛의 기대를 충족시켜 줍니다. 적당히 삭은 묵은지와 생고기가 충분히 들어있고 단맛보단 칼칼함이 강해서 약간 안성탕면스러운 느낌이 있어요. 주변 물가에 비해 비싸지 않으면서 솥밥까지 주니까 더 좋아요. 계란말이도 엄청 큰 사이즈라서 같이 시켜먹으면 배가 정말 든든해 집니다. 점심에 약간만 늦어도 줄이 길어지는 이유가 있네요.”,1,0,0,0,0,0,1,1,1,0,0,0,0
김삼보김치찌개,"“김치찌개 먹으러 많이 다녀요. 고기양이 타식당에 비해 엄청 많아요ㅎ 국물도 맛있고, 밥도 누룽지해먹을 수 있어서 좋습니다!”",1,0,0,0,0,0,1,1,1,0,0,0,0
김삼보김치찌개,"“원래 24시간 영업점이라서, 갑자기 삼겹살이 먹고 싶을 때, 찾기 좋은 곳입니다. 김치찌개도 맛있어요.”",1,0,0,0,0,0,1,1,1,0,0,0,0
김삼보김치찌개,“김치찌개도 맛있고 공기밥이 아닌 무쇠솥밥으로 나옵니다. 밥 맛도 좋고 물 부어 숭늉으로 먹어도 좋습니다. 최고”,1,0,0,0,0,0,1,1,1,0,0,0,0
김삼보김치찌개,"“그래봐야 김치찌개니까 여행까지와서 먹진말고 종로 근처에서 일하는데 칼칼한 국물요리가 땡긴다 싶으면 와보세요 찌게에 들어가는 재료들이 매우 푸짐하고, 돌솥으로 누룽지까지 후식으로 먹을 수 있다”",1,0,0,0,0,0,1,1,1,0,0,0,0
김삼보김치찌개,김치찌개가 아주 굿입니다. 밥도 솥밥해서 주고 양도 낙낙합니다. 점심먹기 굿굿,1,0,0,0,0,0,1,1,1,0,0,0,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,31,,,,,,,,
,,,,,,76,,,,,,,,
,,,,,,78,,,,,,,,
,,,,,,63,,,,,,,,
,,,,,,75,,,,,,,,
,,,,,,74,,,,,,,,
,,,,,,45,,,,,,,,
,,,,,,89,,,,,,,,
,,,,,,58,,,,,,,,
,,,,,,63,,,,,,,,
,,,,,,82,,,,,,,,
,,,,,,73,,,,,,,,
,,,,,,72,,,,,,,,
,,,,,,90,,,,,,,,
,,,,,,44,,,,,,,,
,,,,,,79,,,,,,,,
,,,,,,63,,,,,,,,
,,,,,,74,,,,,,,,
,,,,,,81,,,,,,,,
,,,,,,84,,,,,,,,
,,,,,,75,,,,,,,,
,,,,,,59,,,,,,,,
,,,,,,44,,,,,,,,
,,,,,,90,,,,,,,,
,,,,,,86,,,,,,,,
,,,,,,98,,,,,,,,
,,,,,,80,,,,,,,,
,,,,,,69,,,,,,,,
,,,,,,70,,,,,,,,
,,,,,,55,,,,,,,,
,,,,,,78,,,,,,,,
,,,,,,75,,,,,,,,
,,,,,,71,,,,,,,,
,,,,,,90,,,,,,,,
,,,,,,16,,,,,,,,
,,,,,,37,,,,,,,,
,,,,,,47,,,,,,,,
,,,,,,72,,,,,,,,
,,,,,,59,,,,,,,,
,,,,,,44,,,,,,,,
,,,,,,65,,,,,,,,
,,,,,,98,,,,,,,,
,,,,,,87,,,,,,,,
,,,,,,47,,,,,,,,
,,,,,,49,,,,,,,,
,,,,,,75,,,,,,,,
,,,,,,92,,,,,,,,
,,,,,,59,,,,,,,,
,,,,,,73,,,,,,,,
,,,,,,74,,,,,,,,
,,,,,,92,,,,,,,,
,,,,,,89,,,,,,,,
,,,,,,72,,,,,,,,
,,,,,,55,,,,,,,,
,,,,,,80,,,,,,,,
,,,,,,72,,,,,,,,
,,,,,,71,,,,,,,,
,,,,,,51,,,,,,,,
,,,,,,58,,,,,,,,
,,,,,,59,,,,,,,,
,,,,,,49,,,,,,,,
,,,,,,78,,,,,,,,
,,,,,,81,,,,,,,,
,,,,,,89,,,,,,,,
,,,,,,84,,,,,,,,
,,,,,,65,,,,,,,,
,,,,,,93,,,,,,,,
,,,,,,73,,,,,,,,
,,,,,,89,,,,,,,,
,,,,,,63,,,,,,,,
,,,,,,73,,,,,,,,
,,,,,,67,,,,,,,,
,,,,,,42,,,,,,,,
,,,,,,88,,,,,,,,
,,,,,,76,,,,,,,,
,,,,,,89,,,,,,,,
,,,,,,44,,,,,,,,
,,,,,,91,,,,,,,,
,,,,,,92,,,,,,,,
,,,,,,72,,,,,,,,
,,,,,,85,,,,,,,,
,,,,,,37,,,,,,,,
,,,,,,74,,,,,,,,
,,,,,,77,,,,,,,,
,,,,,,64,,,,,,,,
,,,,,,82,,,,,,,,
,,,,,,77,,,,,,,,
,,,,,,78,,,,,,,,
,,,,,,81,,,,,,,,
,,,,,,46,,,,,,,,
,,,,,,72,,,,,,,,
,,,,,,29,,,,,,,,
,,,,,,72,,,,,,,,
,,,,,,87,,,,,,,,
,,,,,,61,,,,,,,,
,,,,,,73,,,,,,,,
